NO,Question,Opt_A,Opt_B,Opt_C,Opt_D,Answer,Standard
81,"While Performing The Quality Check Of Particle Concentration, The Suspension Particles Are Measured By:",Weighing the suspension.,Using a field indicator.,"Measuring the pull on, magnet.",Read out from centrifuge tube after settling.,D,MPT (General)
82,"For Establishing The Properties Of Oil Carriers In Wet Magnetic Particles Inspection, Most Of The Specifications Will State:",Minimum viscosity of the oil carrier.,Maximum Viscosity of the oil carrier.,Maximum viscosity of the oil carrier at specified temperature.,None of the above statement is true.,C,MPT (General)
83,"When A Hand Yoke Is Used To Magnetize The Part, The Resulting Magnetic Field Is A:",Circular Field,Longitudinal Field,Depends on placement of contacts,None of the above.,B,MPT (General)
84,The Pie Gage Is So Named Because:,It is made from soft steel.,It is made of Pie – Shaped sections.,The reading is mushy and not predictable.,It is round and flat.,B,MPT (General)
85,.Bench Units Are Designed To Be Used Primarily As:,Wet Units.,Batch lots.,No automated Units,All of the above,D,MPT (General)
86,An Oil Suspension With A High Flashpoint Is Desirable To Provide:,Low flammability,High Flammability.,Good mobility.,A Pleasant Odor.,A,MPT (General)
87,Physical Properties Of Magnetic Particles Are:,Size,Density,Magnetic Characteristics,All of Above,A,MPT (General)
88,A Piece Of Bar Stock In The Yard Of Fabrication Shop Was Tested For Inclusions Using Claps And Cables. The Magnetism In The Bar Was:,Induced circular,Direct longitudinal,Longitudinal,Direct circular,A,MPT (General)
89,A Fuzzy Subsurface Indications Are Located Along The Side Of Center Line Of The Weld; This Discontinuity Is Most Likely Related To:,Lack of fusion,Slag Inclusion,The heat affected zone crack, Undercut.,B,MPT (General)
90,An Advantage Of Alternating Current Is That:,It is most readily available,Equipment can be made lighter,It leaves the part demagnetized,All of the above.,D,MPT (General)
91,Which Of The Following Discontinuity Can Be Found By Penetrant Test Method?,A Subsurface Crack,A Surface Crack,An Internal Inclusion.,None of the above.,B,Penetrant Testing (General)
92,Liquid Penetrant Testing Is Based On The Principle Of:,Polarized sound waves in a liquid,Magnetic domains,Absorption of X rays,Capillary action,D,Penetrant Testing (General)
93,When Using A Dry Developer?,Compressed air should be used to remove excess developer,A black developer will show better contrast than white developer,A thin layer of developer is better than a thick layer to show very fine cracks,A thick layer of developer is better than a thin layer to show very fine cracks,C,Penetrant Testing (General)
94,Which Of The Developer Listed Below Is Rated Highest,Dry developer,Non aqueous Wet developer,Wet developers,All of the above,B,Penetrant Testing (General)
95,The Penetration Time Varies Considerably Depending Upon,Type of penetrant used,The sensitivity desired,The type of discontinuity to be found,All of the above,D,Penetrant Testing (General)
96,The Presence Of Contamination Material In Discontinuity Reduces The Sensitivity Of Inspection,The contaminant may fill up the discontinuity and thus prevent the entry of penetrant.,The composition of the contaminants may reduce the fluorescence or colour of penetrant.,The contaminant nature may reduce or even prevent the capillary action by the penetrant.,All of the above,D,Penetrant Testing (General)
97,A Penetrant That Is Self-Emulsifying Is Called,Solvent removable,Water washable,Post-emulsified,Dual sensitivity method,B,Penetrant Testing (General)
98,"When Testing The Parts With The Discontinuities Wider Than It Is Deep, The Best Method Is",Solvent removable visible method,Water washable fluorescent method,Solvent removable fluorescent method,Post emulsifiable visible method,A,Penetrant Testing (General)
99,"For Water Washable Penetrant, Removal Of Excess Penetrant From Surface, Water Temperature Should Be",Between 60°F to 110°F (16°C to 43°C,Between 50°F to 90°F (10°C to 16°C),At 60°F (16°C),At 150°F (65°C),A,Penetrant Testing (General)
100,"When Using A Wet Aqueous Developer, It Is To Be Applied",After drying the part,Immediately after water wash operation ,After oven drying of the part at temperature of 100 °C,None of the above,B,Penetrant Testing (General)
101,Which Of The Following Pre-Cleaning Processes Is Not Recommended,Detergent cleaning,Vapour degreasing,Shot blasting,Ultrasonic cleaning,C,Penetrant Testing (General)
102,"The Drying Temperature Required For Drying The Parts, With Water Washable Fluorescent Method Should Be",Between 150°F to 225°F (66°C to 107°C),Between 100°F to 120°F (37°C to 48°C),At 100°F (37°C),At 120°F (48°C,B,Penetrant Testing (General)
103,Which Of The Following Is NOT An Advantage When Using Post Emulsifiable Fluorescent Process,It is very sensitive in detecting very fine discontinuities,It has good sensitivity in detecting shallow discontinuities,Short penetration time,"Difficult to remove penetrant from Threads, keyways, blind holes and rough surfaces",D,Penetrant Testing (General)
104,The Emulsifier To Be Used In Penetrant Testing Should Be Applied,After the penetration time is elapsed and before the water wash operation,Immediately after the penetrant is applied and before the water wash operation,After the water wash operation,Before the application of developer,A,Penetrant Testing (General)
105,"Which Of The Following Discontinuities Could Be Classified As A Primary Processing Discontinuity, Often Found In Cast Materials",Porosity,Lack of penetration,Fatigue Crack,Stress Corrosion Crack,A,Penetrant Testing (General)
106,"Which One Of The Following Physical Properties, More Than Any Other, Determines Who Makes A Material A Good Penetrant",Viscosity,Surface Tension,Wetting Ability,No single property determines if a material will or will not be a good penetrant,D,Penetrant Testing (General)
107,Which Of The Following Is A Possible Cause For False Penetrant Indication,Excessive washing,Inadequate application of developer ,Penetrant or part too cold during penetrant time,Lint or dirt,D,Penetrant Testing (General)
108,A Hydrometer Is Used To Measure:,Penetrant viscosity,Specific gravity of water based wet developers,Penetrant specific gravity,Cleaner specific gravity,B,Penetrant Testing (General)
109,"Fluorescent Penetrant Respond Most Actively, At Radiant Energy Of A Wavelength Of Approximately",2500 Angstroms,3650 Angstroms,5000 Angstroms,5500 Angstroms,B,Penetrant Testing (General)
110,"When Using Solvent Removable Visible Dye Penetrant, The Most Suitable Method Of Removing Excess Penetrant To Give Best Result Is",Applying the Solvent over the part surface under 20 PSI pressure,Wiping with a solvent soaking cloth and then by clean dry cloth,"Wiping with dry paper wipes, then wiping with solvent dampened cloth and finally with dry cloth",Wiping with solvent dampened cloth and then with dry cloth,D,Penetrant Testing (General)
111,The Purpose Of Drying In Penetrant Testing Is,Drying process ensures that excess penetrant is evaporated,Drying process reduces the penetrant time,Drying process assures a uniform drying of a dry developer applied over & then emulsified,"Drying process aids in obtaining a uniform developer coating, after application of wet developers.",D,Penetrant Testing (General)
112,"The Emulsifier Time, In Post Emulsified Penetrant Testing System, For The Detection Of Very Fine Shallow Scratches Should Be",2 Second,5 Second,Determined by experiment,Not be very critical,C,Penetrant Testing (General)
113,Which Method For Application Of Emulsifier Is Prohibited,Dipping the part in emulsifier Tank,Applying the emulsifier with brush,Flowing the emulsifier on the part,None of the above,B,Penetrant Testing (General)
114,"An Article Of Small Size To Be Dye Penetrant Tested For Few Critical Areas, Which Of The Following Method Of Penetrant Application Would Be Preferred",Dipping,Brushing,Spraying,B or C above,D,Penetrant Testing (General)
115,Post Emulsification Penetrants Differ From Water Washable Penetrant As Post Emulsification Penetrant,Need the application of emulsifier,Can only be used for steel parts,Needs not to be removed from the surface prior to development,Need to be used if only dry developer is to be applied after cleaning,A,Penetrant Testing (General)
116,What Is The Danger Associated With Using A Wire Brush During Pre-Cleaning,Bristles from the wire brush may cause false indications,Contaminants from the wire brush may cause delayed hydrogen cracking of high carbon steels ,The wire brush may not adequately remove organic soils,The wire brush may close or smear metal over,D,Penetrant Testing (General)
117,The Prime Purpose Of Black Light For Fluorescent Penetrant Inspection Is,To speed up inspection,To develop indications,To make indications Visible,To magnify Indications,C,Penetrant Testing (General)
118,Which Of The Following Is An Advantage Of Solvent Wipe Over Water Washable Method,Small indications are easily seen,No special lighting is required,They can be easily carried out in the field and to remote area’s,None of the above,C,Penetrant Testing (General)
119,Dry Developer Should Be Applied,so that a heavy coat of developer covers all surfaces,so that a light dusting covers all surfaces to be inspected,with a dry paint brush,by compressed air,B,Penetrant Testing (General)
120,"When Viewing The Parts Under Black Light, The Fluorescent Back Ground May Indicate",Poor washing,Insufficient emulsification time,Porous Material and coating,All of the above,D,Penetrant Testing (General)
121,The Most Important Factor Which Determines The Dwell Time Of Penetrant To Be Effective,Shape of the part,Size of the part,Type of the discontinuity sought,Surface roughness,C,Penetrant Testing (General)
122,Which Penetrant Process Is Best Suited To The Detection Of Discontinuities In A Test Piece Having Threads And Keyways ,Solvent removable,Water washable,Post emulsifiable,Fluorescent,B,Penetrant Testing (General)
123,Which Penetrant Process Is The Most Sensitive To Detect Fine Discontinuities,Solvent removable,Water washable,Post emulsifiable fluorescent,Water washable fluorescent,C,Penetrant Testing (General)
124,"The Indication Observed On Aluminium Forging Is Sharp, Half Moon Shape, Not Deep Is Called",Linear Porosity,Heat treat crack,Forging Lap,False Indication,C,Penetrant Testing (General)
125,Which Of The Following Is The Most Sensitive Developer In Descending Order,"Dry, water soluble, water suspendable","Non-aqueous wet, water soluble, water suspendable, dry","Non-aqueous wet, dry, water soluble","Water suspendable, water soluble, non-aqueous wet",B,Penetrant Testing (General)
126,Hot Tears Are Usually Found In What Areas Of A Casting,thin sections only,heavy sections only,at abrupt changes in thickness,no longer a problem,C,Penetrant Testing (General)
127,"The Indication Observed On The Weld Joint Is Continuous And Jagged Line, It Could Be",Lack of fusion,Slag inclusion,Crack,Linear porosity,C,Penetrant Testing (General)
128,"During The Penetrant Testing Of A Part! Small, Week Indications Are Observed And There Is A Doubt About The Type And Nature Of Indication, What Would Be The Next Step",Remove the indications and apply the developer again,Accept as it is,Grind the area of indication,Repeat the penetrant inspection right from the Pre cleaning,D,Penetrant Testing (General)
129,"When Performing A Fluorescent Penetrant Examination, Excess Penetrant Is Normally Removed",By a hydrophilic scrubber,Under UV light,By solvent spray,By vapour degreasing,B,Penetrant Testing (General)
130,Which Of The Following Discontinuities Would Be Impossible To Detect Using Liquid Penetrant Testing?,Internal Cavities,Forging Laps,Crater Cracks,All of the above,A,Penetrant Testing (General)
131,Filters For Black Lights Effectively Remove,Visible light from the energy given off by the mercury arc.,Harmful ultraviolet radiations,Natural white light,None of the above,B,Penetrant Testing (General)
132,A Good Penetrant Must Be,Highly Viscous,Highly Volatile,An inorganic base liquid,Inert with respect to the materials being Tested,D,Penetrant Testing (General)
133,The Wetting Ability Of The Penetrant Is Controlled By,Density,Specific Gravity,Contact angle and surface tension,Volatility,C,Penetrant Testing (General)
134,Which Of The Following Test Part Characteristics Listed Below Are Normally Considered Before The Selection Of Specific Penetrant Test System,The size and type of the discontinuities most likely to occur,The intended application of the part,The surface finish of the part,A & C of above,D,Penetrant Testing (General)
135,"During A Visible, Solvent Removable Penetrant Test, Complete Penetrant Removal Is Indicated By ",Absence of red indications on the test piece surface,Clean rinse water,Completion of the rinse cycle,Absence of red dye on the cleaning towels,D,Penetrant Testing (General)
136,Which Of The Following Is Not A Good Practice While Performing The Penetrant Testing,Applying developer by spraying,Applying emulsifier by dipping,Applying emulsifier by brushing,"Applying penetrant by dipping, brushing or spraying",C,Penetrant Testing (General)
137,Which Of The Following Discontinuities Might Found In A Welded Joint?,Lack of fusion,Laps,Shrinkage,Seams,A,Penetrant Testing (General)
138,When Testing The Titanium Alloys By Penetrant Testing The Penetrant Test System Should Not Contain Any Constituent Quantities Of,Emulsifier or oil,Carbon contents,Halogenated solvents,Fluorescent agents,C,Penetrant Testing (General)
139,Which One Of The Following Pre Cleaning Method Is Most Effective For Organic Contaminations?,Use of rust and scale removers,Etching,Ultrasonic Cleaning,Vapour degreasing,D,Penetrant Testing (General)
140,Which Of The Following Is Typical Foreign Matter Which Might Block The Opening Of Discontinuities If The Surface Of The Test Part Is Not Properly Cleaned?,Paint,Rust,Core and mould material,All of the above,D,Penetrant Testing (General)
141,"For Type II, Method C Penetrants; The Lighting System Shall Provide The Light Intensity",At least 100 foot candle (1000 lux),At least 200 foot candle (2000 lux),At least 300 foot candle (3000 lux),At least 400 foot candle (4000 lux),A,Penetrant Testing (Specific)
142,Which One Of The Following Is Addressing The Penetrant Materials?,Mil-I-6870,Mil-I-25135,Mil-STD-410,all of the above,B,Penetrant Testing (Specific)
143,"In Penetrant System, The Drying Oven Temperature Shall Not Exceed 160°F (71°C). The Temperature Indicator Shall Be Accurate To?",± 10°F of the actual oven temperature,± 15°F of the actual oven temperature,± 17°F of the actual oven temperature,± 19°F of the actual oven temperature,A,Penetrant Testing (Specific)
144,"Aluminium Alloy 6061 T6, Shaft (Lathe-Turned) 13.2 Inches  Long And 2.0 Inch Diameter, Which Is To Go In Service Under High Tension Stress. According To The Specification, Inspection Procedure Shall Include?",Pre cleaning the part in abrasive slurry,"Descaling, followed by neutralizing and continuous flushing of the neutralized descaling compound",Pre cleaning with etching process,No particular pre inspection preparation is needed on machined aluminium parts,C,Penetrant Testing (Specific)
